epoch,train_loss,train_acc,train_prec,train_rec,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_prec,val_rec,val_f1_macro,val_f1_weighted
1,1.3592,0.3462,0.2669,0.2690,0.2641,0.3520,1.3233,0.4413,0.2776,0.2734,0.2601,0.3967
2,1.2814,0.4302,0.2961,0.2897,0.2889,0.4100,1.2913,0.4624,0.2851,0.2756,0.2607,0.4043
3,1.2707,0.4677,0.3243,0.2932,0.2877,0.4164,1.2525,0.4531,0.2613,0.2777,0.2616,0.4026
4,1.2277,0.4947,0.3106,0.2923,0.2759,0.4277,1.2022,0.5141,0.2918,0.2895,0.2593,0.4245
5,1.1697,0.5200,0.3519,0.3120,0.2989,0.4514,1.1381,0.5469,0.3273,0.3136,0.2785,0.4533
6,1.0896,0.5751,0.4101,0.3593,0.3473,0.5108,1.0662,0.6432,0.4395,0.4070,0.3746,0.5641
7,0.9834,0.6262,0.4371,0.4063,0.3929,0.5684,0.9443,0.6948,0.5288,0.4718,0.4474,0.6379
8,0.9006,0.6620,0.5261,0.4546,0.4486,0.6152,0.8797,0.7277,0.7347,0.5194,0.4980,0.6814
9,0.8240,0.7031,0.5850,0.4978,0.4950,0.6597,0.7671,0.7864,0.7595,0.6197,0.6388,0.7612
10,0.7527,0.7465,0.6206,0.5462,0.5426,0.7062,0.6795,0.8545,0.8522,0.7103,0.6998,0.8324
11,0.6606,0.7840,0.6836,0.6102,0.6176,0.7586,0.6321,0.8263,0.7714,0.6575,0.6441,0.7989
12,0.6163,0.8075,0.7051,0.6424,0.6452,0.7830,0.5298,0.8638,0.8167,0.7365,0.7280,0.8469
13,0.5448,0.8345,0.7786,0.6917,0.7061,0.8173,0.4625,0.8850,0.8491,0.7775,0.7792,0.8753
14,0.5109,0.8468,0.7755,0.7121,0.7276,0.8340,0.4755,0.8897,0.8482,0.7849,0.7931,0.8812
15,0.4697,0.8603,0.7819,0.7318,0.7433,0.8488,0.4042,0.9155,0.8802,0.8325,0.8401,0.9105
16,0.4525,0.8621,0.7955,0.7444,0.7579,0.8529,0.3464,0.9225,0.8803,0.8563,0.8615,0.9202
17,0.3878,0.8920,0.8362,0.7971,0.8059,0.8861,0.3562,0.9155,0.8637,0.8321,0.8400,0.9108
18,0.3785,0.8815,0.8192,0.7851,0.7960,0.8765,0.2964,0.9319,0.9021,0.8751,0.8868,0.9301
19,0.3234,0.9126,0.8746,0.8378,0.8515,0.9096,0.2917,0.9202,0.8818,0.8469,0.8569,0.9171
20,0.3095,0.9143,0.8767,0.8507,0.8618,0.9124,0.2484,0.9319,0.8965,0.8770,0.8859,0.9305
21,0.2847,0.9202,0.8812,0.8556,0.8670,0.9183,0.2498,0.9296,0.8931,0.8708,0.8786,0.9277
22,0.2837,0.9178,0.8768,0.8622,0.8684,0.9170,0.2017,0.9554,0.9419,0.9117,0.9247,0.9543
23,0.2600,0.9237,0.8838,0.8702,0.8765,0.9228,0.1958,0.9484,0.9140,0.9102,0.9106,0.9481
24,0.2210,0.9366,0.9037,0.8894,0.8960,0.9357,0.1908,0.9460,0.9208,0.8993,0.9090,0.9448
25,0.2040,0.9507,0.9221,0.9143,0.9179,0.9504,0.1815,0.9413,0.9092,0.9052,0.9071,0.9412
