epoch,train_loss,train_acc,train_prec,train_rec,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_prec,val_rec,val_f1_macro,val_f1_weighted
1,1.3837,0.2899,0.4019,0.3553,0.2912,0.3260,1.0947,0.6925,0.6386,0.6499,0.6091,0.7184
2,1.0523,0.6004,0.5717,0.5874,0.5475,0.6359,0.8241,0.8451,0.7645,0.7921,0.7762,0.8485
3,0.7943,0.7893,0.7067,0.7348,0.7131,0.7968,0.6089,0.8873,0.8148,0.8197,0.8162,0.8865
4,0.6085,0.8656,0.7927,0.8052,0.7984,0.8664,0.4905,0.9014,0.8470,0.8361,0.8377,0.8992
5,0.4874,0.8926,0.8294,0.8245,0.8258,0.8915,0.3878,0.9296,0.8954,0.8633,0.8731,0.9267
6,0.4087,0.9120,0.8585,0.8551,0.8562,0.9112,0.3325,0.9319,0.8980,0.8668,0.8773,0.9294
7,0.3242,0.9325,0.9003,0.8897,0.8943,0.9318,0.2637,0.9390,0.9213,0.8782,0.8933,0.9365
8,0.2566,0.9572,0.9290,0.9215,0.9249,0.9568,0.2305,0.9390,0.9128,0.8848,0.8943,0.9374
9,0.2377,0.9548,0.9308,0.9281,0.9294,0.9548,0.1845,0.9460,0.9211,0.8981,0.9082,0.9449
10,0.1980,0.9577,0.9266,0.9264,0.9264,0.9577,0.1831,0.9507,0.9271,0.8965,0.9099,0.9491
