epoch,train_loss,train_acc,train_prec,train_rec,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_prec,val_rec,val_f1_macro,val_f1_weighted
1,1.0061,0.6356,0.5162,0.5397,0.5063,0.6355,0.6231,0.8451,0.6043,0.7088,0.6428,0.8135
2,0.5750,0.8404,0.7183,0.7111,0.6809,0.8244,0.4335,0.8803,0.7205,0.7309,0.6920,0.8542
3,0.4434,0.8727,0.7976,0.7617,0.7557,0.8624,0.3214,0.9131,0.8503,0.8090,0.8165,0.9058
4,0.3852,0.8826,0.8106,0.7804,0.7789,0.8755,0.2974,0.9085,0.8229,0.7922,0.7844,0.8974
5,0.3287,0.8996,0.8471,0.8024,0.8088,0.8922,0.2679,0.8991,0.8163,0.7782,0.7695,0.8863
6,0.3282,0.8979,0.8323,0.8230,0.8262,0.8965,0.2293,0.9249,0.8810,0.8500,0.8638,0.9222
7,0.3048,0.9067,0.8551,0.8396,0.8462,0.9051,0.2053,0.9366,0.8868,0.8797,0.8829,0.9357
8,0.2696,0.9120,0.8520,0.8514,0.8508,0.9120,0.2127,0.9319,0.9005,0.8516,0.8679,0.9275
9,0.2695,0.9214,0.8738,0.8757,0.8747,0.9214,0.2159,0.9202,0.8955,0.8207,0.8356,0.9127
10,0.2255,0.9331,0.8992,0.8917,0.8951,0.9326,0.1886,0.9484,0.9003,0.9028,0.9015,0.9485
